,Accuracy,Precision,Recall,F1-score,ROC-AUC
XGBoost,0.8914077186774301,0.5685920577617328,0.29773156899810965,0.39081885856079407,0.7917435574499919
Random Forest,0.8842198385491541,0.5083459787556904,0.3166351606805293,0.39021549213744905,0.783327434592034
Logistic Regression,0.7456596262302333,0.2602316602316602,0.6370510396975425,0.36951754385964913,0.7674642790771449
SVM,0.8426407165763574,0.30439442658092175,0.2684310018903592,0.28528377699648416,0.6507409332006018
